gamma,crater_fraction,rms_slope_deg,chi2
40.0,0.09,14.700914363293293,29894367.459331397
40.0,0.1,15.496124358363613,29578468.735432692
40.0,0.11,16.252472339396768,29264248.59510465
40.0,0.12,16.975153729962038,28951707.038647734
40.0,0.13,17.66830017768634,28640844.066366464
40.0,0.14,18.335261606582495,28331659.67856949
40.0,0.15,18.978798834352112,28024153.875569627
40.0,0.16,19.601219151057727,27718326.65768392
40.0,0.17,20.204474237672684,27414178.025233705
40.0,0.18,20.79023247185481,27111707.978544693
40.0,0.19,21.359933362413685,26810916.517947007
40.0,0.2,21.914829231817897,26511803.64377524
40.0,0.21,22.456017618285017,26214369.35636856
40.0,0.22,22.984466804468497,25918613.656070735
40.0,0.23,23.501036175000905,25624536.543230213
40.0,0.24,24.006492628280544,25332138.018200222
40.0,0.25,24.501523938822157,25041418.08133877
40.0,0.26,24.986749735362988,24752376.73300879
40.0,0.27,25.46273059494306,24465013.973578166
40.0,0.28,25.929975633687672,24179329.803419825
40.0,0.29,26.38894888730173,23895324.222911797
40.0,0.3,26.840074709091443,23612997.232437305
40.0,0.31,27.283742364320137,23332348.83238484
40.0,0.32,27.720309962473078,23053379.02314822
40.0,0.33,28.150107840443013,22776087.805126708
40.0,0.34,28.57344148753451,22500475.178725045
40.0,0.35,28.990594085919405,22226541.144353565
40.0,0.36,29.401828726586587,21954285.70242827
40.0,0.37,29.80739035005445,21683708.85337091
40.0,0.38,30.207507452510978,21414810.59760908
40.0,0.39,30.602393591130962,21147590.93557629
40.0,0.4,30.992248716727225,20882049.86771207
40.0,0.41,31.377260357342664,20618187.39446204
40.0,0.42,31.75760467266784,20356003.51627805
40.0,0.43,32.13344739610802,20095498.233618204
40.0,0.44,32.504944678793535,19836671.54694701
40.0,0.45,32.87224384772684,19579523.45673545
40.0,0.46,33.23548408850701,19324053.963461082
40.0,0.47,33.59479706160449,19070263.067608163
40.0,0.48,33.950307459924076,18818150.769667715
40.0,0.49,34.30213351435102,18567717.07013764
40.0,0.5,34.650387453091355,18318961.969522845
40.0,0.51,34.995175919865545,18071885.468335327
40.0,0.52,35.33660035537268,17826487.567094285
40.0,0.53,35.67475734589251,17582768.266326245
40.0,0.54,36.00973894242082,17340727.566565152
40.0,0.55,36.34163295332621,17100365.4683525
40.0,0.56,36.67052321316499,16861681.97223744
40.0,0.57,36.996489829986025,16624677.078776903
40.0,0.58,37.3196094131925,16389350.788535718
40.0,0.59,37.639955283796944,16155703.102086738
40.0,0.6,37.957597668704224,15923734.020010961
40.0,0.61,38.27260388048098,15693443.542897651
40.0,0.62,38.58503848391491,15464831.671344498
40.0,0.63,38.894963450531506,15237898.405957693
40.0,0.64,39.20243830211545,15012643.747352123
40.0,0.65,39.50752024417827,14789067.696151467
40.0,0.66,39.810264290219706,14567170.252988338
40.0,0.67,40.11072337754743,14346951.418504452
40.0,0.68,40.40894847534537,14128411.193350734
40.0,0.69,40.70498868561572,13911549.578187488
40.0,0.7,40.998891337560465,13696366.573684542
40.0,0.71,41.290702075916286,13482862.180521388
40.0,0.72,41.58046494370962,13271036.399387358
40.0,0.73,41.86822245985673,13060889.230981749
40.0,0.74,42.15401569199592,12852420.676014015
40.0,0.75,42.43788432490509,12645630.735203909
40.0,0.76,42.71986672482737,12440519.40928165
40.0,0.77,43.0,12237086.6989881
40.0,0.78,43.27832005765689,12035332.605074933
40.0,0.79,43.554861657752674,11835257.128304794
40.0,0.8,43.829658463635795,11636860.269451497
40.0,0.81,44.10274308987988,11440142.029300204
40.0,0.82,44.374147147465656,11245102.408647591
40.0,0.83,44.64390128649065,11051741.408302048
40.0,0.84,44.912035236570034,10860059.029083876
40.0,0.85,45.17857784507936,10670055.271825466
40.0,0.86,45.443557113378375,10481730.137371516
40.0,0.87,45.70700023114478,10295083.626579203
40.0,0.88,45.96893360893699,10110115.740318427
40.0,0.89,46.22938290909629,9926826.47947198
40.0,0.9,46.488373075090834,9745215.844935795
